Codigo,Tipo,Titulo,Ano,Criador
101,Livro,"O Senhor dos Aneis",1954,"J.R.R. Tolkien"
102,Livro,"Duna",1965,"Frank Herbert"
103,Livro,"Fahrenheit 451",1953,"Ray Bradbury"
104,Livro,"1984",1949,"George Orwell"
105,Livro,"O Guia do Mochileiro das Galaxias",1979,"Douglas Adams"
106,Livro,"Neuromancer",1984,"William Gibson"
107,Livro,"Fundacao",1951,"Isaac Asimov"
9001,Filme,"2001: Uma Odisseia no Espaco",1968,"Stanley Kubrick"
9002,Filme,"Blade Runner",1982,"Ridley Scott"
9003,Filme,"Pulp Fiction",1994,"Quentin Tarantino"
9004,Filme,"O Poderoso Chefao",1972,"Francis Ford Coppola"
9005,Filme,"Matrix",1999,"Wachowskis"
9006,Filme,"Parasita",2019,"Bong Joon Ho"
9007,Filme,"A Viagem de Chihiro",2001,"Hayao Miyazaki"
501,Jogo,"The Legend of Zelda: Ocarina of Time",1998,"Nintendo"
502,Jogo,"Chrono Trigger",1995,"Square"
503,Jogo,"The Witcher 3: Wild Hunt",2015,"CD Projekt Red"
504,Jogo,"Elden Ring",2022,"FromSoftware"
505,Jogo,"Super Metroid",1994,"Nintendo"
506,Jogo,"Portal 2",2011,"Valve"
